movie_id,genres,movie_title,original_language,overview,popularity,release_date,runtime
the-succulent-succubus,Not Available,The Succulent Succubus,ja,"Momo (Celebrity Japanese adult starlet Sho Nishino) is very unlucky. All the guys she dates are only after her money, and she discovers she has only six months left to live. Momo meets Ms. Devil Girl Succubus (played by Japanese cult icon Asami) who proposes to grant her one wish. In return, the succubus wants her soul for eternity. A sexy and entertaining erotic parody of the film Bedazzled.",0.887,21-01-2011,62
the-suffering-2017,Not Available,The Suffering,es,"Pablo Rouviot is a renowned psychoanalyst. His life changes completely when Paula arrives to his office and asks him to prove that his brother, a man with serious psychological problems and accused for the murder of his father, is in no able condition to be judged.",3.074,27-04-2017,118
the-suicide-club,Not Available,The Suicide Club,en,"What should you do if you are young, handsome but your life is terribly boring? Of course to die! Who can help you? Of course, two your best friends. But what if assisted suicide becomes an original way to earn? When a business plan comes to mind to the three adventurers they are no longer up to the death!",1.312,24-08-2007,100
the-suicide-forecast,Not Available,The Suicide Forecast,ko,"An insurance agent helps a financially desperate client make his suicide look like an accident and becomes the target of a fraud investigation. To protect his career, he must visit all his remaining suicide-prone clients and talk them out of killing themselves.",1.632,14-04-2011,124
the-suicide-manual,Not Available,The Suicide Manual,ja,"After a group suicide, two journalists investigate the cycle of suicides caused by spirits bound by the Suicide Manual.",0.985,24-10-2003,86
the-suicide-song,Not Available,The Suicide Song,ja,"Original story by Yasushi AKIMOTO, writer of the mega hit movie One Missed Call (Chakushin Ari) series. As the project was in development with an idea of an ""infectious song (Densen-Uta)"", one of the staff called out...""There was a real Densen-Uta!"" He discovers on the internet of a song back in 1933, Hungary, which caused mysterious deaths of many people.  In ""Densen-Uta"", high school girls get mixed up in the Japanese version of this infectious song, and with the help of third rate gossip magazine reporter, tries to solve the mystery and horror behind the song. They come to know just how real, an urban legend can become.",0.676,18-08-2007,128
the-suicide-squad,Not Available,The Suicide Squad,en,"Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",654.329,28-07-2021,132
the-suicide-theory,Not Available,The Suicide Theory,en,"Steven Ray was never quite normal. But when tragedy strikes in the form of a deadly hit-and-run incident at a city cross walk, his violent and bizarre behavior becomes uncontrollable. One night, as Steven plots his next murder, he meets Percival, whose unsuccessful attempt at suicide not only interferes with Stevens plans, but the chance encounter also introduces the two into each others sad and lonely lives.  Percival believes hes cursed after miraculously surviving each suicide attempt and concludes fate brought he and Steven together. So he hires Steven to assist him in suicide. Steven does not believe in fate and thinks Percival is desperate and delusional. But he accepts the offer. Easy money.  After Percival continues to miraculously survive each attempt on his life, Steven starts to believe. He tries to help Percival figure out ways to break the curse. And in the process, they form an unlikely friendship through the common bond of tragedy.",3.671,10/7/15,98
the-suite-life-movie,Not Available,The Suite Life Movie,en,"Cody and Zack are approached to join the Gemini Project, a high-tech research center studying the dynamics between twins. Shockingly, they find themselves interconnected in a whole new way! When one twin experiences something, the other twin feels it too. This newfound revelation helps them see eye to eye for the first time, and it puts them in more danger than they could have imagined.",9.754,25-03-2011,80
the-sultans-wife,Not Available,The Sultan's Wife,en,"On a sailing trip, sweethearts Bobby and Gloria arrive in a very sinister-looking India, where an evil rajah attempts to force Gloria into his harem.",0.6,29-09-2017,18
the-summer-of-flying-fish,Comedy Drama,The Summer of Flying Fish,es,"Manena is the headstrong adolescent daughter of Pancho, a rich Chilean landowner who devotes his vacation to one thing : the invasion of his artificial lagoon by carps. While he employs increasingly radical methods, Manena has her first romantic experiences and hearbreak - and discovers a silent world in the shadow of her own : that of the Mapuche Indians who demand access to the land and clash with her father.",0.781,20-05-2013,87
the-summers-of-it-chapter-two,Not Available,The Summers of IT: Chapter Two,en,"This documentary focuses on the actors and their journey over two summers to create the remake to the original IT, by Stephen King. The documentary originally released as bonus material, bundled with IT: Chapter Two.",6.855,10/12/19,169
the-summit-2017,Not Available,The Summit,es,"At a Latin American Presidents’ Summit in Chile where the region’s alliances and geopolitical strategies are shaped, Hernán Blanco, the president of Argentina, lives a political and family drama. Through his son in law, he’s implicated in a corruption case. On her father’s call, Marina Blanco, attends the Summit to find protection, to earn time and to negotiate a way out. That past once calm and domestic, becomes a menacing element, almost fantastic, seen from the top of public life, seen from the Summit.",6.551,17-08-2017,114
the-summoning,Horror,The Summoning,en,"A group of friends set out on a road trip to ""the party of the century"" in the middle of nowhere, but on the way, they break down and find themselves being hunted for a satanic ritual.",1.546,13-10-2014,88
the-sun-2016,Not Available,The Sun,ja,"The story is set in the early 21st century with the population decimated by bio terror. Two kinds of humans now exist. One is the Nokusu who were infected with a virus but survived and consequently they carry an antibody. Most are young, healthy and have high intelligence, but they have a high sensitivity to ultraviolet rays and are active mostly during the night. The other group are the Kyurio. They survived by never having the virus. The Nokusu discriminates against the Kyurio.  Tetsuhiko Okudera is a Kyurio. He was born in a poor village. He isn't happy with being a Kyurio and wishes he could be a Nokusu. Yui Ikuta is Tetsuhiko’s childhood friend. She tries to revive the poor village.",1.143,23-04-2016,129
the-sunshine-boy,Not Available,The Sunshine Boy,en,"A Mother's Courage (aka The Sunshine Boy) is a moving, compassionate portrayal of a mother's desperate quest to understand the perplexing condition that controls her son. A journey through different countries, where every stop-over opens a new path into the depths of autism - and places her son in a strikingly different perspective as it reaches the end.",0.6,1/1/09,103
the-sunshine-makers-2015,Not Available,The Sunshine Makers,en,"The story of Nicholas Sand and Tim Scully, the unlikely duo at the heart of 1960s American drug counter-culture. United in a utopian mission to save the planet through the consciousness-raising power of LSD, these underground chemists manufactured a massive amount of acid, including the gold standard for quality LSD, 'Orange Sunshine,' all while staying one step ahead of the Feds.",2.187,1/11/15,101
the-surf-girl,Not Available,The Surf Girl,en,Many different people go swimming at a pool at Coney Island.,0.805,9/7/16,20
the-surface,Not Available,The Surface,en,"Maintain consistency, that is key...",0.6,9/2/14,15
the-surface-2014,Not Available,The Surface,en,"Two strangers, both at the end of their rope, suddenly meet in the middle of the unpredictable waters of Lake Michigan.",4.803,9/10/14,86
the-surrogate-2013,Not Available,The Surrogate,en,"A married couple, struggling to have a child, hires a young woman to be their surrogate, but soon discovers she has a bizarre and deadly agenda.",1.372,1/1/13,90
the-surrogate-2020,Not Available,The Surrogate,en,"Jess is thrilled to be the surrogate for her best friend and his husband, but when a prenatal test comes back, it creates a moral dilemma that threatens their friendship.",2.252,9/7/21,93
the-suspect-2006,Not Available,The Suspect,en,"Fenton, California is shocked when local lawyer Paul James, a model citizen and house-father considering to stand in municipal elections, is shot in his instantly torched car in front of his home. His second wife Beth is arrested and charged after cash and the murder weapon, Paul's own gun, are found. Insurance investigator Jerry Calhoun, a former cop, on the case because Paul had a life insurance since three weeks, realizes lazy police detective Rhodes's utter incompetence. When Beth escapes, even step-daughter Robin still reports her to the police. Calhoun however makes sure the truth is discovered starting from blackmail and embezzlement Paul was involved in.",2.631,2/10/06,88
the-suspect-2013-1,Action Thriller,The Suspect,ko,"Betrayed and on the run, a former North Korean agent tries to seek revenge on the man who killed his wife, find his missing daughter, and uncover the secrets hidden inside the eyeglasses of a dead man.",9.338,24-12-2013,137
the-swamp-2019,Not Available,The Swamp,en,"The history of the Florida Everglades and the efforts to reclaim, control and preserve the vast area once viewed as a wasteland.",0.608,15-01-2019,113
the-swamp-2020,Documentary,The Swamp,en,"A look behind the curtain of Washington politics following three ""renegade"" Republican Congressmen as they bring libertarian and conservative zeal to champion the President’s call to “drain the swamp.”",10.201,4/8/20,114
the-swan-princess-a-royal-family-tale,Not Available,The Swan Princess: A Royal Family Tale,en,"Shortly after the Royal Family adopts a young girl named Alise, she is taken away into the forest. Princess Odette, Derek and their woodland friends, must work together to find a way to bring her home to the castle.",9.983,25-02-2014,79
the-swan-princess-a-royal-myztery,Not Available,The Swan Princess: A Royal Myztery,en,"Your favorite characters are back in an all-new royal adventure! It seems that a mysterious “Z” is appearing as a mark on the palace residents. Who is behind the mark and what does it mean? Princess Odette, Derek, Scully and all the Swan Princess friends work as a team to uncover the secret.",8.708,27-03-2018,79
the-swan-princess-kingdom-of-music,Not Available,The Swan Princess: Kingdom of Music,en,"Princess Odette is hosting a music competition to celebrate Princess Alise's birthday. Prince Li of Cathay has entered, but his sister Princess Mei Li has stowed away on his ship to seek help from Odette and Derek for Chen, who has been cursed to live as a dragon. Who will win the music festival and will Chen ever be free from his curse?",4.392,5/8/19,82
the-swap-2016,Not Available,The Swap,en,"Based on the book by Megan Shull, The Swap follows the adventures of a rhythmic gymnast named Ellie with a make-it-or-break-it competition, and the younger brother named Jack in a hockey family who's vying for a varsity spot on his school team. But when a simple text causes the two to swap bodies, their paths take an unexpected cross.",11.273,7/10/16,89
the-sweeney,Not Available,The Sweeney,en,"Jack Regan, a hardened cop who doesn’t play by the rules, is confronted with a criminal from his past. With sidekick George Carter they are put on the case of a jewellery store heist that ends in a killing. But is that killing really an execution in disguise? With pressure from his boss and the fact that Regan is having an affair with that boss’s wife, it’s not going to be easy for him to stay out of trouble.",8.553,11/9/12,112
the-sweet-hand-of-the-white-rose,Not Available,The Sweet Hand of the White Rose,en,"How many times have you had a bad day? How many times have you thought you would run away from everyone and everything? That is exactly what happens to Mark. In order to forget about a heated discussion with his girlfriend, he decides to get in the car and go far away. But a little mistake will change his reality forever...",0.673,30-05-2010,16
the-swell-season,Not Available,The Swell Season,en,"The world fell in love with Glen Hansard and Markéta Irglová when their songwriting collaboration in the film Once (2006) culminated in a jubilant Oscar win. But behind the scenes, where Glen and Mar's on-screen romance became reality, a grueling two-year world tour threatens to fracture their fated bond. Filmed in black and white, this music-filled documentary is an intimate look at the exhilaration and turmoil created by both love and fame.",2.241,22-04-2011,91
the-swenkas,Not Available,The Swenkas,en,"A documentary on Johannesburg South African men who call themselves ""Swenkas"" and compete for cash and prizes in an event that's part fashion show, part choreography, and part moral code.",0.6,15-06-2004,
the-swindlers-2017,Not Available,The Swindlers,ko,"A group of swindlers unite to hunt down an infamous con man who was known dead, amid their hidden motives and deception.",5.471,22-11-2017,117
